areapermisoconcesion,codigodesesco,empresa_informante,participacion,geojson
PUESTO QUIROGA,QUI,TECPETROL S.A.,<br> TECPETROL S.A.: 52.13 %<br> PAMPA ENERGIA S.A.: 35.67 %<br> YPF S.A.: 7.20 %<br> PETROMINERA CHUBUT S.E.: 5 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.921091820631,-45.9277586351095],[-67.8888541982626,-45.9280891035858],[-67.8024126968884,-45.8709847365129],[-67.8003000374168,-45.9690828896203],[-67.5563574107658,-45.9338184451217],[-67.5557906804955,-45.9450577799492],[-67.535505217192,-45.9591442181877],[-67.5633009953446,-45.9611754728264],[-67.5958722131321,-45.9987381572967],[-67.919711829837,-45.9986903124646],[-67.921091820631,-45.9277586351095]]]]}"
LA TAPERA,TAP,TECPETROL S.A.,<br> PAMPA ENERGIA S.A.: 35.67 %<br> TECPETROL S.A.: 52.13 %<br> PETROMINERA CHUBUT S.E.: 5 %<br> YPF S.A.: 7.20 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.0865724109879,-45.861044896861],[-68.040809751269,-45.8606736684115],[-67.9571989289873,-45.9273768962833],[-67.921091820631,-45.9277519783277],[-67.919711829837,-45.9986836547835],[-68.0879461290106,-45.9986792921722],[-68.0865724109879,-45.861044896861]]]]}"
EL TORDILLO,ELT,TECPETROL S.A.,<br> TECPETROL S.A.: 52.13 %<br> PAMPA ENERGIA S.A.: 35.67 %<br> PETROMINERA CHUBUT S.E.: 5 %<br> YPF S.A.: 7.2 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.0408095003581,-45.8606733059848],[-68.0240011551292,-45.8604610587873],[-67.9914380699109,-45.8456269700651],[-67.8732398172637,-45.8555031224276],[-67.8241296003008,-45.8487080869651],[-67.7945180819439,-45.8488514991538],[-67.7932022433888,-45.8501884205157],[-67.7681217478204,-45.8490200572863],[-67.767646349999,-45.8706099035807],[-67.8024232927008,-45.8709951038974],[-67.8888543475501,-45.9280816374142],[-67.9571968803317,-45.9273761579399],[-68.0408095003581,-45.8606733059848]]]]}"
ESTANCIA LA MARIPOSA,ELM,TECPETROL S.A.,<br> TECPETROL S.A.: 74.62 %<br> ALIANZA PETROLERA ARGENTINA S.A.: 16.38 %<br> FOMICRUZ S.E.: 9.00 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.1172409061429,-46.0816612230438],[-68.1165618892198,-46.1203536979216],[-68.2007217404159,-46.1210098253],[-68.2012710571136,-46.0823135363973],[-68.1172409061429,-46.0816612230438]]]]}"
LOS BASTOS,BAS,TECPETROL S.A.,<br> TECPETROL S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.5100020369999,-38.7928240219999],[-68.508858007,-38.959464966],[-68.722290016,-38.960166995],[-68.722504049,-38.9061199609999],[-68.768615977,-38.9062190079999],[-68.768982067,-38.7936210199999],[-68.5100020369999,-38.7928240219999]],[[-68.609657988,-38.847871303],[-68.6741002209999,-38.848182379],[-68.6742116469999,-38.856078969],[-68.6629853909999,-38.8560074809999],[-68.662888852,-38.8657186569999],[-68.628495743,-38.865711604],[-68.6139734449999,-38.873157287],[-68.599417729,-38.873699185],[-68.5862588699999,-38.8829296329999],[-68.5799175509999,-38.887690987],[-68.5688315259999,-38.889148588],[-68.5608462559999,-38.888619794],[-68.558617414,-38.887279126],[-68.5544108889999,-38.887603648],[-68.545848779,-38.8875886769999],[-68.546406221,-38.8814881019999],[-68.568821219,-38.86930517],[-68.569370099,-38.853192941],[-68.6096480479999,-38.853273241],[-68.609657988,-38.847871303]]]]}"
FORTIN DE PIEDRA ,FOR,TECPETROL S.A.,<br> TECPETROL S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.987800832993,-38.5164231181741],[-68.9876824040026,-38.6218107871615],[-69.1047546279672,-38.6217266111741],[-69.1046120339655,-38.6020069191765],[-69.0678628309766,-38.6018432551725],[-69.067815675974,-38.573159529176],[-69.0329521719845,-38.5731150681722],[-69.0329258979814,-38.5389753921763],[-69.0141824889871,-38.5388230151743],[-69.0140549569851,-38.516500668177],[-68.987800832993,-38.5164231181741]]],[[[-68.9813217809918,-38.4808681671778],[-68.9812901729927,-38.4919577901764],[-69.0096203959842,-38.4918008491795],[-69.0094230689856,-38.5063783551777],[-69.0304470389792,-38.50636666718],[-69.0304515049799,-38.513828169179],[-69.0388619979774,-38.51382568018],[-69.0391644489773,-38.51412904618],[-69.040561522977,-38.51528449818],[-69.0431771429764,-38.5184069731799],[-69.0453935509761,-38.5214248441797],[-69.0474771129759,-38.5256946101795],[-69.047708951976,-38.5280963791792],[-69.0492547639758,-38.5306297821791],[-69.0487560329762,-38.5340312681786],[-69.0509837469758,-38.5374460111784],[-69.0532477129754,-38.5393085911785],[-69.0565480119745,-38.5406270431787],[-69.058111947974,-38.5416817351787],[-69.058731951974,-38.5424518911787],[-69.0601324169739,-38.5465306501783],[-69.0616024799735,-38.5479241281783],[-69.0644477209727,-38.5481165861786],[-69.0663850509723,-38.5501935301786],[-69.067635049972,-38.5511296071786],[-69.0700433289715,-38.5536637551786],[-69.0742143569709,-38.5597306411782],[-69.0769712879701,-38.5610452511784],[-69.0790113849696,-38.5625432791785],[-69.0829915109687,-38.5658752891785],[-69.0872877789676,-38.5674116451787],[-69.0888228929672,-38.5690513361787],[-69.0891582689674,-38.5712829941785],[-69.0914882359667,-38.5725939801786],[-69.0938154189662,-38.5741008021786],[-69.0958867969657,-38.5750188831787],[-69.0967438909655,-38.5756651081788],[-69.0969500179654,-38.5760503031787],[-69.0979207259652,-38.5771802721788],[-69.1018129949641,-38.5779108301791],[-69.105736742963,-38.5789434311794],[-69.1081893779623,-38.5791786071796],[-69.1112235589615,-38.5806277521798],[-69.113384146961,-38.5820267601798],[-69.1167601309603,-38.5859284451797],[-69.1233558329587,-38.5901393341799],[-69.1357261039558,-38.5996744131801],[-69.1381981739551,-38.6008357191802],[-69.1410945859543,-38.6010844571805],[-69.1478064559526,-38.6045102931808],[-69.1508572649516,-38.6045984841811],[-69.153081890951,-38.6054837231813],[-69.1547177139505,-38.6054924741815],[-69.1560697449502,-38.6065657671815],[-69.1567824289499,-38.6060153771816],[-69.1588119359494,-38.6061477921818],[-69.1607299279488,-38.6065099931819],[-69.1638264879479,-38.6076407051822],[-69.167148963947,-38.6083792511824],[-69.1693042069463,-38.6082590211827],[-69.1709977819456,-38.6058783371831],[-69.1716220279454,-38.6053053701833],[-69.1749581569443,-38.6045798001838],[-69.1778402529434,-38.604787194184],[-69.1787705979431,-38.6049748991841],[-69.1802524699427,-38.6053419511842],[-69.1812804659424,-38.6055295751843],[-69.1835273309418,-38.6053954271846],[-69.1864883729409,-38.6061520111848],[-69.1889575309403,-38.6075757931849],[-69.1915702549396,-38.608994874185],[-69.1930611419393,-38.610514863185],[-69.1938859879391,-38.610909854185],[-69.1948778579388,-38.6115298141851],[-69.1955020279386,-38.6119927041851],[-69.1960742229385,-38.6123565661851],[-69.1985991689379,-38.6140818881851],[-69.2009227359373,-38.6146049231853],[-69.2033445979366,-38.6153438931855],[-69.2044464579363,-38.6161888331855],[-69.205803060936,-38.6178034081855],[-69.2067843659358,-38.6186664671855],[-69.2083497759355,-38.6199653791855],[-69.2111099079347,-38.6204604021857],[-69.2150989139335,-38.6210161781861],[-69.216974084933,-38.6216856801862],[-69.2312292249286,-38.6216583781878],[-69.230802064919,-38.5152987112007],[-69.0565741969721,-38.5154651811817],[-69.0565351379657,-38.4446666531903],[-68.9649115259934,-38.4446790031803],[-68.9648952349966,-38.480832950176],[-68.9813217809918,-38.4808681671778]]]]}"
SAN ANTONIO SUR,ANT,TECPETROL S.A.,<br> COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.: 5 %<br> PAMPA ENERGIA S.A.: 15 %<br> LEDESMA S.A.A.I.: 4 %<br> TECPETROL S.A.: 23 %<br> YPF S.A.: 53 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-64.1453781127097,-22.7954998009998],[-64.14569854745,-22.836019515712],[-64.1004028319251,-22.8360042569149],[-64.2037963865939,-23.1673488608775],[-64.2985000612288,-23.1665954583301],[-64.1822433468529,-22.7953128805099],[-64.1453781127097,-22.7954998009998]]]]}"
AGUARAGÜE,AGU,TECPETROL S.A.,<br> COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.: 5 %<br> YPF S.A.: 53 %<br> TECPETROL S.A.: 23 %<br> PAMPA ENERGIA S.A.: 15 %<br> LEDESMA S.A.A.I.: 4 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-63.3965721126128,-23.5016498556651],[-63.3977775575881,-23.7452659600593],[-63.7405891417754,-23.7441654201014],[-63.7392196658548,-23.500419616381],[-63.3965721126128,-23.5016498556651]]],[[[-64.3875122072225,-22.843540190751],[-64.4623794554475,-23.0080776207056],[-64.4961166379724,-23.0077629083514],[-64.4162750245727,-22.832452773001],[-64.3875122072225,-22.843540190751]]],[[[-63.8209266665323,-22.6129302976242],[-63.8334465028538,-22.8316478725752],[-63.8346061705382,-23.0212554927664],[-64.015060424399,-23.0202007283006],[-63.9332771297357,-22.6143913263277],[-63.891460419063,-22.6146297446959],[-63.8517227170297,-22.3989925375096],[-63.8034896853006,-22.3992385857262],[-63.8066673282346,-22.4164257047161],[-63.8209266665323,-22.6129302976242]]],[[[-63.5641365049956,-21.9994106286411],[-63.6351623539593,-22.2907676692292],[-63.7657203672011,-22.2902050011965],[-63.6693000792352,-21.9990158073771],[-63.5641365049956,-21.9994106286411]]]]}"
AGUA SALADA,SAL,TECPETROL S.A.,<br> YPF S.A.: 30.00 %<br> TECPETROL S.A.: 70.00 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.7297596433928,-38.524651245838],[-67.7979703526496,-38.5253515038485],[-67.7986683029998,-38.4834174604274],[-67.935362435528,-38.4847394197684],[-67.9359972669603,-38.4415772243897],[-67.8822835247648,-38.4410763955395],[-67.8830669520781,-38.3902597968328],[-67.9523007040142,-38.3908994558259],[-67.9526224211878,-38.3685528543116],[-68.0838095164959,-38.3696132044666],[-68.0844901486014,-38.3155425663176],[-68.055911729143,-38.3153188905356],[-67.9709642894703,-38.2578561130508],[-67.9714304161807,-38.2245236749096],[-67.7350368930382,-38.2222139829709],[-67.7297596433928,-38.524651245838]]]]}"
LOMITA DE LA COSTA,LDLC,TECPETROL S.A.,<br> FOMICRUZ S.E.: 9.00 %<br> ALIANZA PETROLERA ARGENTINA S.A.: 16.38 %<br> TECPETROL S.A.: 74.62 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.615639507,-46.2332598959999],[-67.606015128,-46.258318017],[-67.6577946319999,-46.258952382],[-67.658408365,-46.2337696819999],[-67.615639507,-46.2332598959999]]]]}"
